Title,URL,PublishedAt,description
"Romario Shepherd smacked 32 in last over for Mumbai, while Tristan Stubbs left stranded at non-striker’s, as Delhi falter",https://indianexpress.com/article/sports/ipl/romario-shepherd-mumbai-indians-tristan-stubbs-mi-vs-dc-9256803/,2024-04-07T15:32:16Z,"Mumbai batting gets off the mark as Rohit Sharma, Ishant Kishan and Shepherd post 234/5; Prithvi Shaw's hitting in vain for DC"
Hardik Pandya finds relief from unending booing as MI secures first IPL 2024 win,https://economictimes.indiatimes.com/news/sports/hardik-pandya-finds-relief-from-unending-booing-as-mi-secures-first-ipl-2024-win/articleshow/109110895.cms,2024-04-07T15:29:52Z,Hardik Pandya faced booing at IPL matches but received cheers at Wankhede Stadium. Sanjay Manjrekar and Sourav Ganguly appealed for fan restraint. R Ashwin criticized fan behavior towards Indian cricketers on YouTube.
MI vs DC: Memes flood Twitter after Mumbai Indians trounce Delhi Capitals to secure their first IPL 2024 win,https://economictimes.indiatimes.com/news/sports/mi-vs-dc-memes-flood-after-mumbai-indians-trounce-delhi-capitals-to-get-its-first-ipl-2024-win/articleshow/109110830.cms,2024-04-07T15:26:43Z,Delhi Capitals' fourth loss in five IPL matches led to them being last on the table. Mumbai Indians posted 234/5 with significant contributions from various players. Netizens expressed frustration on social media after DC's defeat.
Meet Romario Shepherd who slammed 39 runs in 10 balls in MI vs DC IPL match,https://economictimes.indiatimes.com/news/sports/meet-romario-shepherd-who-slammed-39-runs-in-10-balls-in-mi-vs-dc-ipl-match/articleshow/109110311.cms,2024-04-07T14:42:46Z,"Romario Shepherd, the dynamic all-rounder from Guyana, showcased explosive batting skills in the IPL match at Wankhede stadium. His powerful hits and versatile gameplay led Mumbai Indians to victory in the thrilling encounter."
IPL 2024: All-round Mumbai Indians ease past Delhi Capitals for first win of season,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/all-round-mumbai-indians-ease-past-delhi-capitals-for-first-win-of-season/articleshow/109110207.cms,2024-04-07T14:36:10Z,"Romario Shepherd's 10-ball 39 not out outmuscled Tristan Stubb's courageous 71 off 25 balls as Mumbai Indians ended its three-match losing streak in the Indian Premier League with a 29–run win against Delhi Capitals on Sunday. After MI posted 234/5, DC got to…"
"IPL 2024: Rajasthan Royals player Jos Buttler recreates Anil Kapoor#39;s iconic scene from Nayak, actor reacts",https://www.moneycontrol.com/entertainment/movies/ipl-2024-rajasthan-royals-player-jos-buttler-recreates-anil-kapoors-iconic-scene-from-nayak-actor-reacts-article-12592621.html,2024-04-07T14:28:35Z,"Adding to the buzz, Bollywood star Anil Kapoor came across the video and couldn#39;t help but express his admiration for Buttler#39;s performance, calling it #39;fire#39;."
Shepherd blasts 32 in final over as Mumbai take first IPL win,https://www.france24.com/en/live-news/20240407-shepherd-blasts-32-in-final-over-as-mumbai-take-first-ipl-win,2024-04-07T14:23:06Z,"The West Indies big-hitter crashed a 10-ball 39 in an unbeaten stand of 53 off 13 deliveries with Tim David, who struck 45, to steer Mumbai to 234-5 at their home Wankhede Stadium.

Delhi finished on 205-8 despite Tristan Stubbs' unbeaten 25-ball 71. They slu…"
Batters must come to the party for CSK against powerplay bosses KKR,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-kolkata-knight-riders-22nd-match-1426260/match-preview,2024-04-07T14:19:16Z,"In two games at Chepauk in IPL 2024 so far, fast bowlers have picked up 18 wickets, while spinners have four (and none of those have gone to CSK)"
MI vs DC: Mumbai Indians beat Delhi Capitals by 29 runs to win first game of ongoing IPL season,https://economictimes.indiatimes.com/news/sports/mi-vs-dc-mumbai-indians-beat-delhi-capitals-by-29-runs-to-win-first-game-of-ongoing-ipl-season/articleshow/109110026.cms,2024-04-07T14:12:55Z,"Hardik Pandya led Mumbai Indians to a 29-run victory over Delhi Capitals in his first win as skipper. Romario Shepherd's 39 not out played a key role. Tristan Stubbs' 71 not out couldn't save DC, ending at 205 for 8."
"IPL 2024: Mumbai Indians#39; ex-captain Rohit Sharma on how his wife Ritika Sajdeh is his support system: She keeps her fingers crossed in my all matches, it matters to me a lot",https://www.moneycontrol.com/entertainment/ott/ipl-2024-mumbai-indians-ex-captain-rohit-sharma-on-how-his-wife-ritika-sajdeh-is-his-support-system-she-keeps-her-fingers-crossed-in-my-all-matches-it-matters-to-me-a-lot-article-12592481.html,2024-04-07T14:09:40Z,"In the recent episode on #39;The Great Indian Kapil Show#39;, cricketer and former India skipper Rohit Sharma spoke about Ritika Sajdeh, who#39;s both his wife and manager, and gives a unique perspective on the game, and is crucial for Rohit#39;s career by hi…"
"IPL 2024 Purple Cap: Khaleel Ahmed rises to third, overtakes Mustafizur Rahman and Mayank Yadav",https://indianexpress.com/article/sports/ipl/ipl-2024-purple-cap-yuzvendra-chahal-khaleel-ahmed-mi-vs-dc-match-9256409/,2024-04-07T13:45:38Z,"IPL 2024 Purple Cap Holder: Rajasthan Royals' Yuzvendra Chahal still holds the top slot with eight wickets in four outings, while Gujarat Titans' Mohit Sharma sits at second with seven scalps."
Rohit Sharma becomes 2nd player after Virat Kohli to create this IPL record,https://economictimes.indiatimes.com/news/sports/rohit-sharma-becomes-2nd-player-after-virat-kohli-to-create-this-ipl-record/articleshow/109108982.cms,2024-04-07T13:05:48Z,"Rohit Sharma, playing for Mumbai Indians, achieved 1000 runs against Delhi Capitals in an IPL match, following Virat Kohli. Additionally, David Warner reached the same milestone, with DC winning the toss at Wankhede Stadium."
"Lucnnow Super Giants vs Gujrat Titans | LSG vs GT Live Score Updates, IPL Cricket 2024: Head-to-Head",https://economictimes.indiatimes.com/news/sports/lucnnow-super-giants-vs-gujrat-titans-live-score-updates-ipl-cricket-t20-21st-match-lsg-vs-gt-match-score-today-07-april-2024-weather-update-dream-11-live-commentary/liveblog/109108938.cms,2024-04-07T13:00:01Z,"It's a super Sunday in the ongoing Indian Premier League (IPL) as Gujarat Titans brace themselves to face their contemporaries, Lucknow Super Giants and giving us a perfect battle of the newbies. Led by Shubman Gill, GT, have had a mixed campaign with two win…"
"MI vs DC: At 32 runs, Delhi Capitals' Anrich Nortje bowls IPL 2024's most expensive last over. Watch the video",https://economictimes.indiatimes.com/news/sports/mi-vs-dc-at-32-runs-delhi-capitals-anrich-nortje-bowls-ipl-2024s-most-expensive-last-over-watch-the-video/articleshow/109107984.cms,2024-04-07T11:58:24Z,"Anrich Nortje's costly over against MI led to a formidable total. Key players like Suryakumar Yadav, Tim David, and Hardik Pandya performed well. Wankhede Stadium ambiance and young supporters added excitement to the match."
IPL 2024 Live Score: LSG vs GT,https://timesofindia.indiatimes.com/sports/cricket/ipl-live-score-lsg-vs-gt-ipl-match-today-7th-april-lucknow-super-giants-vs-gujarat-titans-live/liveblog/109107958.cms,2024-04-07T11:54:56Z,IPL Live Score LSG vs GT: New pace sensation Mayank Yadav will be closely followed by all and sundry after his match-winning performances as Lucknow
"MI vs DC 2024 IPL match: Hardik Pandya, Rohit Sharma & other players of Mumbai Indians' share special message for fans",https://economictimes.indiatimes.com/news/sports/mi-vs-dc-2024-ipl-match-hardik-pandya-rohit-sharma-other-players-of-mumbai-indians-share-special-message-for-fans/articleshow/109107701.cms,2024-04-07T11:37:35Z,"MI shared a video featuring Pandya and Sharma before MI vs DC 2024 IPL, aiming to bring joy to young fans. Ganguly supports Pandya over captaincy change. MI struggles under Pandya's leadership while Rohit Sharma, as former captain, mentored many players."
